Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,9.118798,9.994700,9.118798,9.942547,9.942547,2611504
2021-03-02,9.942279,10.320522,9.503263,9.624214,9.624214,1690192
2021-03-03,9.630812,10.515066,9.613771,10.104133,10.104133,1369495
2021-03-04,10.101135,10.317001,9.306905,9.517673,9.517673,1576558
2021-03-05,9.538805,9.760969,9.105474,9.429021,9.429021,814513
2021-03-06,9.424286,9.983708,9.267944,9.856845,9.856845,2339708
2021-03-07,9.859161,10.434370,9.733479,10.110973,10.110973,2692394
2021-03-08,10.108126,10.324756,9.344330,10.061302,10.061302,2130281
2021-03-09,10.033943,11.516724,9.767676,11.024321,11.024321,2792594
2021-03-10,11.202573,23.966932,10.941562,17.401169,17.401169,40896153
2021-03-11,17.356886,21.304073,14.825699,16.927160,16.927160,86473865
2021-03-12,16.900528,22.020330,16.254852,19.904308,19.904308,60832811
2021-03-13,19.853477,29.544100,19.567299,26.920811,26.920811,106200554
2021-03-14,26.721525,26.852112,22.870485,23.099951,23.099951,17681075
2021-03-15,23.008314,24.239567,20.635229,20.819801,20.819801,12167155
2021-03-16,20.782679,23.878613,19.387955,21.839458,21.839458,24949647
2021-03-17,21.870794,23.900503,20.895033,21.746740,21.746740,22028721
2021-03-18,21.688416,22.899542,21.371943,21.871386,21.871386,12115844
2021-03-19,21.883320,23.187412,21.532473,22.311911,22.311911,12367401
2021-03-20,22.298592,22.701099,20.753325,20.753325,20.753325,9864126
2021-03-21,20.781664,23.761717,19.525352,20.110277,20.110277,21088699
2021-03-22,20.139921,20.703066,18.830767,19.492069,19.492069,7547033
2021-03-23,19.510536,20.942709,18.763035,19.029831,19.029831,14848699
2021-03-24,19.024569,20.138483,17.709534,18.227072,18.227072,7217362
2021-03-25,18.204384,20.715448,17.090776,18.281864,18.281864,18131528
2021-03-26,18.279408,19.858437,18.279408,18.744623,18.744623,9178158
2021-03-27,18.750504,19.286345,18.295532,18.708534,18.708534,7543721
2021-03-28,18.674250,19.445210,18.506977,18.759951,18.759951,6466420
2021-03-29,18.770485,19.284227,18.436623,18.980215,18.980215,6278267
2021-03-30,18.976206,19.332092,18.334230,18.601679,18.601679,5839107
2021-03-31,18.600645,19.855925,17.839256,18.062840,18.062840,11355385
2021-04-01,18.062822,19.146912,18.008360,18.438797,18.438797,5402373
2021-04-02,18.438536,18.992340,18.099718,18.282988,18.282988,6639463
2021-04-03,18.268724,18.820833,17.210573,17.328413,17.328413,4597656
2021-04-04,17.331696,18.442223,17.201996,18.008532,18.008532,4406567
2021-04-05,18.001017,18.421726,17.308964,17.614960,17.614960,4014276
2021-04-06,17.615824,28.537876,17.533772,23.037615,23.037615,56967585
2021-04-07,23.196047,39.119282,21.800135,27.375998,27.375998,248127566
2021-04-08,27.146194,29.888769,23.377716,25.150324,25.150324,67385292
2021-04-09,25.140781,27.954021,24.220533,25.866505,25.866505,35903467
2021-04-10,25.863102,28.021935,24.899233,25.282957,25.282957,28788120
2021-04-11,25.292234,29.978695,25.292234,29.914043,29.914043,35672099
2021-04-12,29.880430,38.418243,28.832390,35.152172,35.152172,146751016
2021-04-13,35.432266,47.064232,31.729294,31.964317,31.964317,217021011
2021-04-14,31.965605,34.826290,30.070965,32.440601,32.440601,82585840
2021-04-15,32.522484,34.223919,31.125500,31.692808,31.692808,44010341
2021-04-16,31.663305,31.991720,28.869692,29.683641,29.683641,29659773
2021-04-17,29.727804,33.321671,29.344296,32.123173,32.123173,41972652
2021-04-18,32.083412,39.324627,28.562302,30.558359,30.558359,106979467
2021-04-19,30.619114,31.884573,30.248407,31.109173,31.109173,31600259
2021-04-20,31.086052,37.824825,30.506134,34.309864,34.309864,88132872
2021-04-21,34.425167,38.628258,34.097137,35.309055,35.309055,82888747
2021-04-22,35.287498,44.376492,34.703888,39.095970,39.095970,151030260
2021-04-23,39.429806,42.473022,34.656208,38.836246,38.836246,97265177
2021-04-24,38.793575,41.829021,38.265743,40.525906,40.525906,51576798
2021-04-25,40.396881,51.870716,40.308178,48.387569,48.387569,183819452
2021-04-26,48.388107,57.806004,47.986309,56.037430,56.037430,125136681
2021-04-27,56.023834,58.907078,50.461517,53.177650,53.177650,102760653
2021-04-28,53.126381,56.128754,40.843811,42.966789,42.966789,181652272
2021-04-29,42.919682,47.262775,41.966625,44.808273,44.808273,93039074
2021-04-30,44.860287,45.493492,43.461449,43.744301,43.744301,34939706
2021-05-01,43.740589,46.964748,42.913082,43.074715,43.074715,63246688
2021-05-02,42.991795,44.268555,42.082249,43.885342,43.885342,33210695
2021-05-03,43.903309,44.060596,39.413853,39.885155,39.885155,40494291
2021-05-04,39.901749,41.813255,32.705853,32.819424,32.819424,80615221
2021-05-05,32.812149,37.128094,32.186069,34.452503,34.452503,59271686
2021-05-06,34.545895,35.981422,32.411304,32.749710,32.749710,25196667
2021-05-07,32.795776,34.952648,31.418879,32.088284,32.088284,28483095
2021-05-08,32.144356,34.773968,31.629360,32.134861,32.134861,28396254
2021-05-09,32.087505,32.248077,29.216330,29.288834,29.288834,20907218
2021-05-10,29.407331,32.759491,25.964609,28.683851,28.683851,40593253
2021-05-11,28.691694,30.917723,26.457876,28.259239,28.259239,29568262
2021-05-12,28.213614,36.139015,26.054583,26.054583,26.054583,64388473
2021-05-13,26.225065,34.649040,26.225065,27.300106,27.300106,60247560
2021-05-14,27.334089,29.790306,26.576857,29.152893,29.152893,31387836
2021-05-15,29.159092,40.772858,28.622137,33.253620,33.253620,175163936
2021-05-16,33.301647,38.927624,31.136379,32.268219,32.268219,130645551
2021-05-17,32.354027,35.755398,27.784454,35.746609,35.746609,52421091
2021-05-18,35.863770,44.992825,35.264648,43.083817,43.083817,159042968
2021-05-19,42.992771,44.831203,25.240629,25.499018,25.499018,84524999
